"ForestTypeGroup","AgeGroup","GamCarbon"
"Oak / pine",200,74.6465638367362
"Other eastern softwoods",0,18.5952524988037
"Other eastern softwoods",10,20.810177330292
"Other eastern softwoods",20,24.2179906120036
"Other eastern softwoods",30,29.1425812517978
"Other eastern softwoods",40,34.8150970932928
"Other eastern softwoods",50,39.7514980105005
"Other eastern softwoods",60,42.4816829805488
"Other eastern softwoods",70,42.5382350882278
"Other eastern softwoods",80,40.0676564342698
"Other eastern softwoods",90,34.4169149574607
"Other eastern softwoods",100,25.0319832633582
"Other eastern softwoods",110,13.5046347492358
"Other eastern softwoods",120,1.62021676510998
"Other eastern softwoods",130,-10.2642012190158
"Other eastern softwoods",140,-22.1486192031416
"Other eastern softwoods",150,-34.0330371872673
"Other eastern softwoods",160,-45.9174551713932
"Other eastern softwoods",170,-57.8018731555188
"Other eastern softwoods",180,-69.6862911396444
"Other eastern softwoods",190,-81.5707091237704
"Other eastern softwoods",200,-93.4551271078961
"Other hardwoods",0,27.5454235272304
"Other hardwoods",10,22.8275260299549
"Other hardwoods",20,26.1059591089055
"Other hardwoods",30,36.7253596094709
"Other hardwoods",40,46.1962152300087
"Other hardwoods",50,50.5545033734605
"Other hardwoods",60,56.955528816822
"Other hardwoods",70,73.5624525378666
"Other hardwoods",80,95.2291706698464
"Other hardwoods",90,105.689663453414
"Other hardwoods",100,97.1764161005449
"Other hardwoods",110,84.243122707876
"Other hardwoods",120,91.8809185386109
"Other hardwoods",130,128.015137200933
"Other hardwoods",140,172.182099441456
"Other hardwoods",150,198.332097562282
"Other hardwoods",160,204.198914367448
"Other hardwoods",170,193.83918612009
"Other hardwoods",180,171.309549083339
"Other hardwoods",190,140.666639520321
"Other hardwoods",200,105.967093694172
"Other western softwoods",0,38.4200147276471
"Other western softwoods",10,34.9142422045611
"Other western softwoods",20,31.5928847568899
"Other western softwoods",30,28.6915970589811
"Other western softwoods",40,26.4492084171988
"Other western softwoods",50,25.0521983140267
"Other western softwoods",60,24.6027321016021
"Other western softwoods",70,25.1096456028241
"Other western softwoods",80,26.4980967026631
"Other western softwoods",90,28.6307674678543
"Other western softwoods",100,31.332738041999
"Other western softwoods",110,34.4138521726878
"Other western softwoods",120,37.6858059579385
"Other western softwoods",130,40.9747162035678
"Other western softwoods",140,44.1318863677472
"Other western softwoods",150,47.0450038286364
"Other western softwoods",160,49.6494636462986
"Other western softwoods",170,51.9364011838371
"Other western softwoods",180,53.9521385746315
"Other western softwoods",190,55.7843116815624
"Other western softwoods",200,57.5328970687641
"Pinyon / juniper",0,14.7855564181145
"Pinyon / juniper",10,14.6797794757371
"Pinyon / juniper",20,14.9311531716303
"Pinyon / juniper",30,15.822273106821
"Pinyon / juniper",40,17.3892955501325
"Pinyon / juniper",50,19.3776289186767
"Pinyon / juniper",60,21.35978867001
"Pinyon / juniper",70,22.9354805093653
"Pinyon / juniper",80,23.9068055578911
"Pinyon / juniper",90,24.3411096937504
"Pinyon / juniper",100,24.4965853951666
"Pinyon / juniper",110,24.6614767413854
"Pinyon / juniper",120,25.004489342397
"Pinyon / juniper",130,25.5224970881232
"Pinyon / juniper",140,26.1069095443457
"Pinyon / juniper",150,26.6722949847494
"Pinyon / juniper",160,27.2512798632293
"Pinyon / juniper",170,27.9860546595829
"Pinyon / juniper",180,29.0225307371142
"Pinyon / juniper",190,30.387609969673
"Pinyon / juniper",200,31.9536263443568
"Ponderosa pine",0,30.2126391702077
"Ponderosa pine",10,34.6219477289314
"Ponderosa pine",20,39.1222470937855
"Ponderosa pine",30,43.7268311996355
"Ponderosa pine",40,48.3206969591277
"Ponderosa pine",50,52.7066746145901
"Ponderosa pine",60,56.7097567780787
"Ponderosa pine",70,60.2523273890355
"Ponderosa pine",80,63.346696108483
"Ponderosa pine",90,66.0249786186364
"Ponderosa pine",100,68.2794648495874
"Ponderosa pine",110,70.0755296581249
"Ponderosa pine",120,71.4340177760947
"Ponderosa pine",130,72.5159642212081
"Ponderosa pine",140,73.6329747259336
"Ponderosa pine",150,75.159170221916
"Ponderosa pine",160,77.39215553075
"Ponderosa pine",170,80.4447341833176
"Ponderosa pine",180,84.2235569656536
"Ponderosa pine",190,88.4930473810294
"Ponderosa pine",200,92.9833464336487
"Redwood",0,42.0276739912757
"Redwood",10,87.1176468724938
"Redwood",20,125.42548323462
"Redwood",30,154.401824514539
"Redwood",40,178.7462943594
"Redwood",50,205.623835475129
"Redwood",60,236.992322404592
"Redwood",70,268.298293701578
"Redwood",80,295.476481471045
"Redwood",90,322.115572126174
"Redwood",100,357.001604815848
"Redwood",110,401.967482384087
"Redwood",120,441.947573176739
"Redwood",130,450.521134862402
"Redwood",140,411.37889641071
"Redwood",150,339.550094409766
"Redwood",160,280.631520892874
"Redwood",170,280.741901285452
"Redwood",180,363.395044614956
"Redwood",190,535.109322249267
"Redwood",200,757.026271316017
"Spruce / fir",0,29.773751999703
"Spruce / fir",10,33.5577764168223
"Spruce / fir",20,37.3122424018653
"Spruce / fir",30,40.9970440416351
"Spruce / fir",40,44.5667546465211
"Spruce / fir",50,47.9768278567626
"Spruce / fir",60,51.1865987573253
"Spruce / fir",70,54.1606875761833
"Spruce / fir",80,56.8705204702075
"Spruce / fir",90,59.2967318851571
"Spruce / fir",100,61.4320431579543
"Spruce / fir",110,63.2836286932279
"Spruce / fir",120,64.8741271377649
"Spruce / fir",130,66.2408576668809
"Spruce / fir",140,67.4329753572405
"Spruce / fir",150,68.5062892634078
"Spruce / fir",160,69.5157907689167
"Spruce / fir",170,70.5069757979032
"Spruce / fir",180,71.5084498998083
"Spruce / fir",190,72.5290841935879
"Spruce / fir",200,73.5622643311591
"Tanoak / laurel",0,67.6763389613583
"Tanoak / laurel",10,85.0943563184103
"Tanoak / laurel",20,102.465651512957
"Tanoak / laurel",30,119.636726198051
"Tanoak / laurel",40,136.305074677686
"Tanoak / laurel",50,152.050050386441
"Tanoak / laurel",60,166.41111443194
"Tanoak / laurel",70,178.967615111076
"Tanoak / laurel",80,189.390188256302
"Tanoak / laurel",90,197.471460480462
"Tanoak / laurel",100,203.162793217195
"Tanoak / laurel",110,206.62278639402
"Tanoak / laurel",120,208.242106816729
"Tanoak / laurel",130,208.592880035366
"Tanoak / laurel",140,208.286993049886
"Tanoak / laurel",150,207.796340265671
"Tanoak / laurel",160,207.333430829476
"Tanoak / laurel",170,206.867244832074
"Tanoak / laurel",180,206.26373626124
"Tanoak / laurel",190,205.452693696426
"Tanoak / laurel",200,204.499648414268
"Tropical hardwoods",0,15.095821651703
"Tropical hardwoods",10,18.3682930443984
"Tropical hardwoods",20,24.1270605673184
"Tropical hardwoods",30,31.5742868357705
"Tropical hardwoods",40,42.4607973945443
"Tropical hardwoods",50,59.1690402720842
"Tropical hardwoods",60,76.1577494443848
"Tropical hardwoods",70,85.3472120973808
"Tropical hardwoods",80,84.6676999041119
"Tropical hardwoods",90,74.7064984926787
"Tropical hardwoods",100,57.7422830949348
"Tropical hardwoods",110,39.4169017812934
"Tropical hardwoods",120,21.0915204676521
"Tropical hardwoods",130,2.76613915401037
"Tropical hardwoods",140,-15.559242159631
"Tropical hardwoods",150,-33.8846234732723
"Tropical hardwoods",160,-52.2100047869143
"Tropical hardwoods",170,-70.5353861005551
"Tropical hardwoods",180,-88.8607674141967
"Tropical hardwoods",190,-107.186148727839
"Tropical hardwoods",200,-125.511530041478
"Western larch",0,39.1820739441887
"Western larch",10,47.1999567208658
"Western larch",20,55.8503699827754
"Western larch",30,65.6375463561499
"Western larch",40,76.6159435454131
"Western larch",50,88.2609987861842
"Western larch",60,99.6272345939343
"Western larch",70,109.70486860576
"Western larch",80,117.800769830516
"Western larch",90,123.747621218283
"Western larch",100,127.836771664465
"Western larch",110,130.542380205811
"Western larch",120,132.24325212
"Western larch",130,133.142228357368
"Western larch",140,133.42060848458
"Western larch",150,133.464006497334
"Western larch",160,133.918224802902
"Western larch",170,135.454054159362
"Western larch",180,138.355470122449
"Western larch",190,142.333153751124
"Western larch",200,146.930563611209
"Western oak",0,36.6063300523434
"Western oak",10,41.6463689325569
"Western oak",20,46.7008538718485
"Western oak",30,51.7713800736356
"Western oak",40,56.8322125112265
"Western oak",50,61.8238870870444
"Western oak",60,66.6597439620888
"Western oak",70,71.2460081548235
"Western oak",80,75.5087730204556
"Western oak",90,79.4142851195146
"Western oak",100,82.9703269721791
"Western oak",110,86.2081622379719
"Western oak",120,89.1588008950443
"Western oak",130,91.8423913176032
"Western oak",140,94.2795033225975
"Western oak",150,96.5143727100266
"Western oak",160,98.6276658307015
"Western oak",170,100.721483731453
"Western oak",180,102.880226753468
"Western oak",190,105.132626722438
"Western oak",200,107.44614583307
"Western white pine",0,49.4729044897533
"Western white pine",10,52.279144727423
"Western white pine",20,55.0705973068436
"Western white pine",30,57.8304892730649
"Western white pine",40,60.5341064843328
"Western white pine",50,63.1507743811805
"Western white pine",60,65.6339179200963
"Western white pine",70,67.9339883086831
"Western white pine",80,70.0103811251387
"Western white pine",90,71.8495996804976
"Western white pine",100,73.4719262402092
"Western white pine",110,74.9177408737415
"Western white pine",120,76.2247479367923
"Western white pine",130,77.4062019583125
"Western white pine",140,78.4692450105666
"Western white pine",150,79.4227719725111
"Western white pine",160,80.2853611354108
"Western white pine",170,81.0881171692418
"Western white pine",180,81.8651562489829
"Western white pine",190,82.6442722077751
"Western white pine",200,83.4276301919447
"White / red / jack pine",0,21.3766837815718
