"ForestTypeGroup","AgeGroup","GamCarbon"
"Woodland hardwoods",70,21.89367739026
"Woodland hardwoods",80,23.3102656677245
"Woodland hardwoods",90,24.7163525393501
"Woodland hardwoods",100,26.1110240213912
"Woodland hardwoods",110,27.4930039784379
"Woodland hardwoods",120,28.860707375835
"Woodland hardwoods",130,30.2127915206708
"Woodland hardwoods",140,31.549003999839
"Woodland hardwoods",150,32.8708559699835
"Woodland hardwoods",160,34.1816417377278
"Woodland hardwoods",170,35.4856400656615
"Woodland hardwoods",180,36.7868119815731
"Woodland hardwoods",190,38.0876603281
"Woodland hardwoods",200,39.388903500425
