"ForestTypeGroup","AgeGroup","carbon","carbon_se","total","total_se","rfCarbon","rfCarbonUpper","rfCarbonLower","ShortName","Age","Area","Prop","originalArea","AreaSE","ForestTypeGroupCode"
"Other western softwoods",150,37.4434461678194,6.63506611204886,3619576.10635394,1112938.86931135,-5.50741024556925,-4.531484287212,-6.4833362039265,"OtWSw","151-160 years",216010.444170689,0.0146356079347275,212849,16.58,360
"Other western softwoods",160,37.8510944021118,5.70139429437965,5476560.32016841,1462402.72108378,-5.5673696321083,-4.72877381456084,-6.40596544965575,"OtWSw","161-170 years",110635.213610173,0.0146356079347275,109016,22.85,360
"Other western softwoods",170,70.7457458468531,12.3199177117267,6189956.76571544,2016629.46859053,-10.4057154291065,-8.59362685355098,-12.217804004662,"OtWSw","171-180 years",149145.84003992,0.0146356079347275,146963,19.96,360
"Other western softwoods",180,50.2552784864403,8.76543412818177,6361677.63746495,1798465.70180159,-7.39185261927177,-6.10257915047711,-8.68112608806643,"OtWSw","181-190 years",183302.747140507,0.0146356079347275,180620,18.19,360
"Other western softwoods",190,53.9299134639834,20.7772275522671,2587912.75016042,1384463.55009965,-7.93234032527361,-4.87629907888254,-10.9883815716647,"OtWSw","191-200 years",79096.6272250248,0.0146356079347275,77939,28.46,360
"Other western softwoods",200,55.3289233451097,4.50579875587077,35742479.4297534,4731627.48603037,-8.1381152242622,-7.4753748845687,-8.8008555639557,"OtWSw","200+ years",1087715.37578456,0.0146356079347275,1071796,7.38,360
"Other western softwoods",999,NA,NA,NA,NA,NA,NA,NA,"OtWSw","Others",108264.517024412,0.0146356079347275,106680,22.78,360
"Other western softwoods",NA,20.3369032332088,5.98048633342271,1424785.34588683,666947.719322423,-2.99127566217411,-2.11162928671611,-3.87092203763211,NA,NA,NA,NA,NA,NA,NA
"Pinyon / juniper",0,13.3775736330117,1.14125365889348,4168180.82671775,917932.783054033,-1.96765505389368,-1.7997925108571,-2.13551759693026,"PJ","0-10 years",613880.758887051,0.0150269555667048,604656,9.99,180
"Pinyon / juniper",10,19.1510692932683,5.53661451808489,10895988.2668573,4159534.3725062,-2.81685597972552,-2.00249697585598,-3.63121498359506,"PJ","11-20 years",1034106.47200608,0.0150269555667048,1018567,7.83,180
"Pinyon / juniper",20,13.0812941329755,0.675065783644955,8246746.60545799,1314536.14549133,-1.92407645947857,-1.82478367011788,-2.02336924883925,"PJ","21-30 years",1587089.11765135,0.0150269555667048,1563240,6.4,180
"Pinyon / juniper",30,14.1932616863199,1.0413533128126,16793427.752837,2570850.07102395,-2.08763142363923,-1.93446283230453,-2.24080001497393,"PJ","31-40 years",2295106.46283792,0.0150269555667048,2260618,5.37,180
"Pinyon / juniper",40,15.6121479512759,0.940421057217789,32305541.7879923,3638338.69403485,-2.29632986228968,-2.1580070021967,-2.43465272238267,"PJ","41-50 years",2901591.08023545,0.0150269555667048,2857989,4.71,180
