ForestTypeGroup,albedoAgeGroup,rfAlbedo,rfSigma,cumTDEE,cumTDEE_ub,cumTDEE_lb
California mixed conifer,70,7.61676691430075,0.771267310649968,39.9330113905435,46.5883780824045,33.2776446986825
California mixed conifer,80,8.29893328994582,0.603069158661542,44.5805336387773,50.5991681541108,38.5618991234438
California mixed conifer,90,8.54262457262242,0.61539166527244,48.0231436938383,53.8652536296751,42.1810337580015
California mixed conifer,100,9.11047607568436,0.624575595614476,52.1174710215182,57.886016481735,46.3489255613014
California mixed conifer,110,11.0917791170441,0.656727977366051,60.6645429811308,66.4748255256373,54.8542604366242
California mixed conifer,120,8.74482782023905,0.889731116229425,57.5086086719417,64.0195370779347,50.9976802659488
California mixed conifer,130,12.5885027019853,0.855882112915454,69.7955442601009,76.4226133261595,63.1684751940423
California mixed conifer,140,10.8509500148016,1.03734848316549,69.3588824481301,76.6316103502837,62.0861545459764
California mixed conifer,150,13.6054809579534,1.59420456669657,79.3574463744961,88.5791731863098,70.1357195626823
California mixed conifer,160,11.3149076160354,1.01549199734886,76.7971036467687,84.9765304976261,68.6176767959114
California mixed conifer,170,10.0256170488899,2.36198169665258,73.8162897698694,85.9786408771425,61.6539386625964
California mixed conifer,180,10.1843840036617,1.53674283601064,74.3988224493215,85.3955573052208,63.4020875934223
California mixed conifer,190,8.10411736679401,1.73386609889599,68.9160901629719,80.5256038356023,57.3065764903415
California mixed conifer,200,10.8300416720644,0.533033318416164,76.1031037809011,84.4103120473839,67.7958955144184
Douglas-fir,0,3.66085931770221,0.629188409719305,11.1361731418198,13.0501366300038,9.22220965363571
Douglas-fir,10,4.91096908758669,0.319449983546451,18.5234680750088,20.1112882335646,16.935647916453
Douglas-fir,20,5.51111841581639,0.242580726425726,23.6263604332434,25.0299542625624,22.2227666039244
Douglas-fir,30,7.49036817331924,0.246142229698597,32.4158003781738,33.8355881106124,30.9960126457353
Douglas-fir,40,8.51995443128262,0.303520267171351,39.5373736425462,41.1747763757518,37.8999709093406
Douglas-fir,50,9.12462914351398,0.31238900014026,45.1952837086251,46.9639591481009,43.4266082691493
Douglas-fir,60,9.60383957374235,0.332331558182852,50.1010326188626,52.0175894933985,48.1844757443268
Douglas-fir,70,11.1125353232072,0.330138623772896,57.8812738815198,59.881887934855,55.8806598281847
Douglas-fir,80,11.7729330946046,0.27102733818908,63.963005031731,65.8550345658462,62.0709754976157
Douglas-fir,90,11.8468586442113,0.276272937576393,67.931430299797,69.8442530970734,66.0186075025205
Douglas-fir,100,11.979126278229,0.292343554341175,71.39147145279,73.3817658233937,69.4011770821863
Douglas-fir,110,13.1228542907104,0.319356268437784,77.6166944267749,79.7356581485099,75.4977307050399
Douglas-fir,120,11.9632825043107,0.371593329835418,77.6087086674046,79.9522530988581,75.2651642359511
Douglas-fir,130,11.9616008523418,0.390270245786105,79.2650042116786,81.7671677165244,76.7628407068328
Douglas-fir,140,14.1270392535399,0.521918049548683,87.6243940994885,90.6185807789568,84.6302074200202
Douglas-fir,150,12.350716325213,0.578436995508252,86.050100870601,89.4167870143201,82.683414726882
Douglas-fir,160,12.1660516981027,0.541416805525958,86.5697475969396,90.0150819124691,83.1244132814102
Douglas-fir,170,13.0180724583082,0.64421872400009,90.3630495704264,94.2258661881796,86.5002329526733
Douglas-fir,180,13.3424992037713,0.737571652386945,93.4881294519725,97.8327794582521,89.1434794456928
Douglas-fir,190,14.0675508961553,0.861136452901774,97.7736423576479,102.732467321841,92.8148173934545
Douglas-fir,200,13.3676493835671,0.303303821067458,98.1158530672759,101.674638564311,94.5570675702411
Elm / ash / cottonwood,0,3.93910482150021,0.786327261403593,11.9825837348857,14.3745567033033,9.59061076646813
Elm / ash / cottonwood,10,4.53112843246453,0.557636605859616,17.6404524842575,20.1066877657632,15.1742172027517
Elm / ash / cottonwood,20,4.57651319792747,0.505124365128584,20.5674693430162,23.0910615497646,18.0438771362677
Elm / ash / cottonwood,30,6.0107043034594,0.635834535632105,26.8990550935924,29.9584497185673,23.8396604686175
Elm / ash / cottonwood,40,5.19838557958537,0.50136254413286,27.3987138887209,30.3149701497105,24.4824576277312
Elm / ash / cottonwood,50,5.0372170644853,0.358778260803513,28.2554469996795,30.8071930468505,25.7037009525084
Elm / ash / cottonwood,60,5.87327429168047,0.379368036836431,31.9425297520097,34.5104397508782,29.3746197531413
Elm / ash / cottonwood,70,5.75421132494027,0.445982650813766,33.5048577878642,36.3091207300556,30.7005948456728
Elm / ash / cottonwood,80,6.81055583229822,0.574089223405004,38.0918038055206,41.3927512721144,34.7908563389268
Elm / ash / cottonwood,90,7.1788918822224,0.82511290120973,41.4510864556252,45.7208498100967,37.1813231011538
Elm / ash / cottonwood,100,7.4111937965716,0.93446314441958,44.1923632662928,49.1804214634606,39.2043050691251
Elm / ash / cottonwood,110,6.97343912427873,1.22182813175263,44.7044945957422,50.9277271228729,38.4812620686115
Elm / ash / cottonwood,120,12.543253010799,1.9476236008838,62.7472004014118,71.7214772211239,53.7729235816996
Elm / ash / cottonwood,130,7.22257506840373,1.7912119737861,53.1166517481636,62.7036394121237,43.5296640842036
